'COCOROS','ADAN','28-JAN-2000','29-MAR-2000','Manager','True',1,1
'ROHLA','JESSE','16-MAY-2000','22-JAN-2000','Manager','True',2,2
'HUCKABEE','COLLEEN','18-JAN-2000','28-JAN-2000','Manager','True',3,3
'STIDMAN','WILLIEMAE','18-JAN-2000','29-JAN-2000','Manager','True',4,4
'YERGIN','MARCELINA','21-JAN-2000','30-JAN-2000','Manager','True',5,5
'RININGER','LESTER','26-JAN-2000','28-JAN-2000','Manager','True',6,6
'TOLMAN','BRICE','29-JAN-2000','30-JAN-2000','Manager','True',7,7
'MARSCHALL','WYATT','24-JAN-2000','27-JAN-2000','Manager','True',8,8
'DIERCKS','MAEGAN','21-JAN-2000','29-JAN-2000','Manager','True',9,9
'DURNEY','FELIPE','28-JAN-2000','30-JAN-2000','Manager','True',10,10
'STILNER','TOVA','1-JAN-2000','2-JAN-2000','Manager','True',11,11
'SPURZEM','BRITTNEY','29-JAN-2000','30-JAN-2000','Manager','True',12,12
'PADMANABHAN','JOSEF','11-JAN-2000','17-JAN-2000','Manager','True',13,13
'CRATCH','RODNEY','6-JAN-2000','22-JAN-2000','Manager','True',14,14
'PROO','SONIA','15-JAN-2000','23-JAN-2000','Manager','True',15,15
'WORDLOW','WILL','6-JAN-2000','18-JAN-2000','Manager','True',16,16
'HEISE','CHARMAINE','22-JAN-2000','23-JAN-2000','Manager','True',17,17
'LAZZARA','ROSALBA','21-JAN-2000','29-JAN-2000','Manager','True',18,18
'NOLLETTE','ANGELO','24-JAN-2000','27-JAN-2000','Manager','True',19,19
'DEBRECHT','JERALD','6-JAN-2000','23-JAN-2000','Manager','True',20,20
'BARRIE','RENE','15-JAN-2000','22-JAN-2000','Manager','True',20,21
'PESCH','MARGARETT','22-JAN-2000','28-JAN-2000','Cashier','False',20,22
'HAUSLADEN','LUISE','20-JAN-2000','23-JAN-2000','Cashier','True',3,23
'IWANEJKO','BEA','15-JAN-2000','16-JAN-2000','Manager','True',3,24
'TYSARCZYK','BENNY','21-JAN-2000','25-JAN-2000','Barista','True',3,25
'MCCOMISH','CLARINE','25-JAN-2000','27-JAN-2000','Barista','False',3,26
'LUOTO','JENA','20-JAN-2000','28-JAN-2000','Cashier','True',6,27
'BUBIER','ANDRES','2-JAN-2000','13-JAN-2000','Cashier','True',6,28
'PLEAS','DEMARCUS','5-JAN-2000','25-JAN-2000','Cashier','True',6,29
'SCHNEIDMAN','MATT','21-JAN-2000','24-JAN-2000','Barista','False',7,30
'DILGARD','BEATA','14-JAN-2000','19-JAN-2000','Barista','False',7,31
'KLINNERT','YON','16-JAN-2000','24-JAN-2000','Manager','True',7,32
'STATHIS','LAURICE','2-JAN-2000','27-JAN-2000','Shift Manager','True',7,33
'BULOSAN','JAMIE','9-JAN-2000','23-JAN-2000','Manager','True',9,34
'PIEPENBURG','ROLF','1-JAN-2000','14-JAN-2000','Shift Manager','True',9,35
'FERDIN','ERICA','18-JAN-2000','25-JAN-2000','Barista','True',9,36
'THIRY','SILVANA','17-JAN-2000','19-JAN-2000','Cashier','True',10,37
'LOPATA','NICHOL','17-JAN-2000','26-JAN-2000','Barista','True',10,38
'WIMBLEY','ALFONZO','21-JAN-2000','23-JAN-2000','Cashier','True',10,39
'SAAVEDRA','HYACINTH','22-JAN-2000','30-JAN-2000','Manager','True',12,40
'SEINER','CLEMENTE','5-JAN-2000','25-JAN-2000','Manager','True',12,41
'ROLLINGER','SANTOS','4-JAN-2000','8-JAN-2000','Cashier','False',12,42
'JI','STARLA','26-JAN-2000','27-JAN-2000','Shift Manager','True',12,43
'KOVALCHIK','DARRICK','19-JAN-2000','29-JAN-2000','Cashier','True',12,44
'SMOTHERMAN','KARRI','1-JAN-2000','12-JAN-2000','Shift Manager','True',15,45
'BOWERMAN','STEPHENIE','16-JAN-2000','17-JAN-2000','Barista','False',15,46
'SPECKEN','MARC','21-JAN-2000','27-JAN-2000','Cashier','True',15,47
'CZWAKIEL','TALITHA','15-JAN-2000','22-JAN-2000','Barista','True',16,48
'SAVE','AUDRY','11-JAN-2000','15-JAN-2000','Cashier','True',16,49
'BRANDSTETTER','MOISES','25-JAN-2000','29-JAN-2000','Shift Manager','True',17,50
