'COCOROS','ADAN','14-AUG-2000','28-DEC-2000','Manager','True',1,1
'ROHLA','JESSE','3-NOV-2000','24-JAN-2000','Manager','True',2,2
'HUCKABEE','COLLEEN','19-JAN-2000','22-JAN-2000','Manager','True',3,3
'STIDMAN','WILLIEMAE','29-JAN-2000','30-JAN-2000','Manager','True',4,4
'YERGIN','MARCELINA','9-JAN-2000','26-JAN-2000','Manager','True',5,5
'RININGER','LESTER','7-JAN-2000','20-JAN-2000','Manager','True',6,6
'TOLMAN','BRICE','26-JAN-2000','29-JAN-2000','Manager','True',7,7
'MARSCHALL','WYATT','7-JAN-2000','12-JAN-2000','Manager','True',8,8
'DIERCKS','MAEGAN','16-JAN-2000','19-JAN-2000','Manager','True',9,9
'DURNEY','FELIPE','25-JAN-2000','27-JAN-2000','Manager','True',10,10
'STILNER','TOVA','11-JAN-2000','22-JAN-2000','Manager','True',11,11
'SPURZEM','BRITTNEY','13-JAN-2000','17-JAN-2000','Manager','True',12,12
'PADMANABHAN','JOSEF','13-JAN-2000','27-JAN-2000','Manager','True',13,13
'CRATCH','RODNEY','11-JAN-2000','30-JAN-2000','Manager','True',14,14
'PROO','SONIA','1-JAN-2000','17-JAN-2000','Manager','True',15,15
'WORDLOW','WILL','19-JAN-2000','26-JAN-2000','Manager','True',16,16
'HEISE','CHARMAINE','1-JAN-2000','8-JAN-2000','Manager','True',17,17
'LAZZARA','ROSALBA','11-JAN-2000','29-JAN-2000','Manager','True',18,18
'NOLLETTE','ANGELO','7-JAN-2000','28-JAN-2000','Manager','True',19,19
'DEBRECHT','JERALD','25-JAN-2000','27-JAN-2000','Manager','True',20,20
'BARRIE','RENE','18-JAN-2000','28-JAN-2000','Barista','False',1,21
'PESCH','MARGARETT','15-FEB-2000','21-OCT-2000','Shift Manager','True',1,22
'HAUSLADEN','LUISE','12-OCT-2000','25-JAN-2000','Manager','True',2,23
'IWANEJKO','BEA','11-JAN-2000','29-JAN-2000','Manager','True',2,24
'TYSARCZYK','BENNY','17-JAN-2000','28-JAN-2000','Cashier','True',2,25
'MCCOMISH','CLARINE','21-JAN-2000','25-JAN-2000','Barista','True',4,26
'LUOTO','JENA','22-JAN-2000','24-JAN-2000','Shift Manager','True',4,27
'BUBIER','ANDRES','4-JAN-2000','14-JAN-2000','Cashier','True',4,28
'PLEAS','DEMARCUS','5-JAN-2000','13-JAN-2000','Barista','False',6,29
'SCHNEIDMAN','MATT','7-JAN-2000','22-JAN-2000','Barista','False',6,30
'DILGARD','BEATA','9-JAN-2000','28-JAN-2000','Manager','True',6,31
'KLINNERT','YON','14-JAN-2000','29-JAN-2000','Shift Manager','True',6,32
'STATHIS','LAURICE','23-JAN-2000','29-JAN-2000','Cashier','True',6,33
'BULOSAN','JAMIE','8-JAN-2000','9-JAN-2000','Shift Manager','True',6,34
'PIEPENBURG','ROLF','1-JAN-2000','30-JAN-2000','Manager','True',10,35
'FERDIN','ERICA','22-JAN-2000','24-JAN-2000','Manager','True',10,36
'THIRY','SILVANA','29-JAN-2000','30-JAN-2000','Barista','True',11,37
'LOPATA','NICHOL','26-JAN-2000','28-JAN-2000','Cashier','False',11,38
'WIMBLEY','ALFONZO','21-JAN-2000','27-JAN-2000','Manager','True',11,39
'SAAVEDRA','HYACINTH','24-JAN-2000','27-JAN-2000','Shift Manager','True',12,40
'SEINER','CLEMENTE','6-JAN-2000','8-JAN-2000','Manager','True',12,41
'ROLLINGER','SANTOS','2-JAN-2000','11-JAN-2000','Cashier','False',12,42
'JI','STARLA','2-JAN-2000','24-JAN-2000','Shift Manager','True',12,43
'KOVALCHIK','DARRICK','29-JAN-2000','30-JAN-2000','Shift Manager','True',12,44
'SMOTHERMAN','KARRI','25-JAN-2000','30-JAN-2000','Manager','True',12,45
'BOWERMAN','STEPHENIE','16-JAN-2000','29-JAN-2000','Cashier','True',17,46
'SPECKEN','MARC','7-JAN-2000','23-JAN-2000','Barista','True',17,47
'CZWAKIEL','TALITHA','24-JAN-2000','28-JAN-2000','Cashier','True',17,48
'SAVE','AUDRY','16-JAN-2000','21-JAN-2000','Cashier','True',19,49
'BRANDSTETTER','MOISES','26-JAN-2000','30-JAN-2000','Barista','False',19,50
